X,Y,OBJECTID,ID,NAME_1,NAME_2,ADDRESS,CITY,ZIPCODE,STATE,EMPLOYMENT,YEARBUILT,SQUAREFEET,SOURCE,DATEREVISE,COMMENTS
-83.2845274255411,42.6723182483497,38,39,General Motors,Pontiac Redistribution Center,1251 Joslyn Road,Pontiac,48340,MI,263,1966,1800000,http://media.gm.com/media/us/en/gm/company_info.html,2015/04/23 00:00:00+00,
-83.0414681046514,42.4666908244558,39,40,General Motors,Warren Transmission,23500 Mound Road,Warren,48091,MI,581,1941,2100000,http://media.gm.com/media/us/en/gm/company_info.html,2015/04/23 00:00:00+00,
-83.545517240856,42.5144752022934,40,41,General Motors,Performance Build Center in Wixom Powertrain Center,30240 Oak Creek Drive,Wixom,48393,MI,0,2004,100000,http://media.gm.com/media/us/en/gm/news.detail.html/content/Pages/news/us/en/2014/Apr/0430-prc.html,2015/04/23 00:00:00+00,"Idle; workers moved to either Kentucky or Pontiac powertrain, however GM still owns the property."
-83.4027277041157,42.2549786431981,41,42,General Motors,Romulus Engine,36880 Ecorse Road,Romulus,48174,MI,326,1976,1400000,http://media.gm.com/media/us/en/gm/company_info.html,2015/04/23 00:00:00+00,
-83.2897889494306,42.6635194775835,42,43,General Motors,Pontiac Metal Center,220 E Columbia Ave,Pontiac,48340,MI,434,1932,1200000,http://media.gm.com/media/us/en/gm/company_info.html,2015/04/23 00:00:00+00,
-83.0458920741308,42.3803469223588,43,44,General Motors,Detroit-Hamtramck Assembly,2500 East Grand Blvd,Detroit,48211,MI,1619,1985,4100000,http://media.gm.com/media/us/en/gm/company_info.html,2015/04/23 00:00:00+00,
-83.5320228465984,42.2507974544161,44,45,General Motors,Willow Run Redistribution Center,50000 Ecorse Road,Belleville,48111,MI,205,1971,904000,http://media.gm.com/media/us/en/gm/company_info.html,2015/04/23 00:00:00+00,
-83.2843861670174,42.6605811808071,45,46,General Motors,Powertrain Headquarters,895 Joslyn Avenue,Pontiac,48340,MI,2280, ,0,http://news.pickuptrucks.com/2011/05/inside-gms-state-of-the-art-powertrain-engineering-center-.html,2015/04/23 00:00:00+00,
-83.2410833304929,42.162228485188,46,47,General Motors,Brownstown Battery,20001 Brownstown Center Dr,Brownstown,48183,MI,100,2009,406000,http://media.gm.com/media/us/en/gm/company_info.html,2015/04/23 00:00:00+00,Leasing space at Brownstown Business Center for battery manufacturing.
-83.2817642063679,42.1761841770049,47,48,Ford,Brownstown Complex,25555 Pennsylvania Rd,Brownstown,48174,MI,430, ,3097509,http://archive.freep.com/article/20140311/NEWS05/303110118/Ford-Brownstown-parts-plant-accident-injured-workers,2015/04/23 00:00:00+00,Employment and building square footage estimated by SEMCOG.
-83.0480108019286,42.3307537813733,48,49,Chrysler,Great Lakes Business Center,719 Griswold St,Detroit,48226,MI,70, ,33000,"http://media.chrysler.com/newsrelease.do;jsessionid=C007F4BA418BCD9AC80566905901D13D?&id=13182&mid=1",2015/04/23 00:00:00+00,Leasing space in Chrysler House building.
-83.0355802151035,42.4861360201103,49,50,Chrysler,MOPAR,26311 Lawrence,Centerline,48015,MI,550, ,1329340,http://www.media.chrysler.com/newsrelease.do?id=13391&mid=,2015/04/23 00:00:00+00,Employment and building square footage estimated by SEMCOG.
-83.0358060917858,42.4522024794045,50,52,Chrysler,Warren Parts Complex,6565 E 8 Mile Rd,Warren,48091,MI,200, ,1103510,http://www.crainsdetroit.com/article/20130828/NEWS/130829820/n-y-firm-buys-1-2-million-square-foot-auto-parts-warehouse-complex,2015/04/23 00:00:00+00,Employment and building square footage estimated by SEMCOG.
-82.4718206848986,42.9054570695971,51,53,Chrysler,MOPAR,840 E Huron Blvd,Marysville,48040,MI,195, ,1217956,"http://media.chrysler.com/newsrelease.do;jsessionid=5E44AE0738E8F63DB0C40648B75B6C05?&id=866&mid=175",2015/04/23 00:00:00+00,Employment and building square footage estimated by SEMCOG.
